,Lat,long,,,,Long,,,,Lat
Urban Health Centre Shadipur  ,"11°40'07.5""N ","92°43'42.7""E",92,43,42.7,92.72852778,11,40,7.5,11.66875
Urban Health Centre Dairy Farm,"11°39'22.3""N ","92°43'55.7""E",92,43,55.7,92.73213889,11,39,22.3,11.65619444
Urban Health Centre Junglighat,"11°40'07.5""N ","92°43'42.8""E",92,43,42.8,92.72855556,11,40,7.5,11.66875
Urban Health Centre Delanipur,"11°40'10.9""N","92°43'47.0""E",92,43,47,92.72972222,11,40,10.9,11.66969444
Urban Health Centre Haddo,"11°40'03.2""N ","92°43'32.9""E",92,43,32.9,92.72580556,11,40,3.2,11.66755556
Oru.ary health center,"11°40'08.2""N","92°43'42.3""E",92,43,42.3,92.72841667,11,40,8.2,11.66894444
Dr. Rajendra Prasad Hospital,"12°54'43.0""N ","92°54'20.9""E",92,54,20.9,92.90580556,12,54,43,12.91194444
Sub Centre Mithakhari,"11°40'17.4""N ","92°41'02.2""E",92,41,2.2,92.68394444,11,40,17.4,11.6715
Sub Centre Templemyo,"11°42'27.2""N ","92°37'42.3""E",92,37,42.3,92.62841667,11,42,27.2,11.70755556
Health sub-center,"12°51'42.1""N ","92°55'10.5""E",92,55,10.5,92.91958333,12,51,42.1,12.86169444
Health sub-center,"12°44'35.7""N ","92°49'08.8""E",92,49,8.8,92.81911111,12,44,35.7,12.74325
Health sub-center,"12°45'02.7""N ","92°45'42.4""E",92,45,42.4,92.76177778,12,45,2.7,12.75075
Health sub-center,"12°43'03.8""N ","92°53'13.5""E",92,53,13.5,92.88708333,12,43,3.8,12.71772222
Health sub-center,"12°45'13.7""N ","92°47'58.1""E",92,47,58.1,92.79947222,12,45,13.7,12.75380556
Health sub-center,"12°50'10.9""N ","92°50'58.9""E",92,50,58.9,92.84969444,12,50,10.9,12.83636111
Health sub-center,"12°52'38.5""N ","92°52'56.5""E",92,52,56.5,92.88236111,12,52,38.5,12.87736111
Health sub-center,"12°51'32.4""N ","92°55'12.0""E",92,55,12,92.92,12,51,32.4,12.859
